clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl113_i48_Dock5_Lamp5,0.451388889,11700,11,35,13,4,mRNA_Cxcl14,mRNA_Ndnf,mRNA_Nxph1,mRNA_Reln,nan,nan,cl113_i48_Dock5_Lamp5&mRNA_Cxcl14>=4.234868049621582&mRNA_Ndnf>=10.00957202911377&mRNA_Nxph1>=10.436161041259766&mRNA_Reln>=10.00030517578125
cl114_i47_Tbc1d2b_Lamp5,0.406360424,11676,36,24,23,6,mRNA_Adarb2,mRNA_Car4,mRNA_Lamp5,mRNA_Ndnf,mRNA_Npy,mRNA_Reln,cl114_i47_Tbc1d2b_Lamp5&mRNA_Adarb2>=3.6384572982788086&mRNA_Car4>=8.570379257202148&mRNA_Lamp5>=10.799261093139648&mRNA_Ndnf>=3.758507490158081&mRNA_Npy>=14.22614860534668&mRNA_Reln>=6.424777030944824
cl115_i47_Rny1_Pvalb,0.253521127,11653,59,29,18,4,mRNA_Btbd11,mRNA_Gad1,mRNA_Pvalb,mRNA_Reln,nan,nan,cl115_i47_Rny1_Pvalb&mRNA_Btbd11>=5.920166015625&mRNA_Gad1>=10.459442138671875&mRNA_Pvalb>=10.335969924926758&mRNA_Reln>=0.9169204235076904
cl116_n47_Lgr6_Astro,0.225806452,11692,20,40,7,3,mRNA_Cxcl14,mRNA_Ptn,mRNA_Rorb,nan,nan,nan,cl116_n47_Lgr6_Astro&mRNA_Cxcl14>=7.383155345916748&mRNA_Ptn>=10.632286071777344&mRNA_Rorb>=8.937206268310547
cl119_i46_Ccdc38_Pvalb,0.179856115,11665,48,36,10,5,mRNA_Ank1,mRNA_Btbd11,mRNA_Dlx6,mRNA_Nxph1,mRNA_Pvalb,nan,cl119_i46_Ccdc38_Pvalb&mRNA_Ank1>=4.010326862335205&mRNA_Btbd11>=7.827264308929443&mRNA_Dlx6>=3.6453638076782227&mRNA_Nxph1>=7.076084613800049&mRNA_Pvalb>=7.923494338989258
cl11_i160_Pitpnc1_Sst,0.591463415,11531,68,63,97,5,mRNA_Calb1,mRNA_Chrna2,mRNA_Npy,mRNA_Reln,mRNA_Sst,nan,cl11_i160_Pitpnc1_Sst&mRNA_Calb1>=10.752373695373535&mRNA_Chrna2>=4.230900287628174&mRNA_Npy>=3.932979106903076&mRNA_Reln>=7.488953113555908&mRNA_Sst>=13.190397262573242
cl120_i46_Cers6_Sst,0.240740741,11670,43,33,13,4,mRNA_Calb1,mRNA_Dlx6,mRNA_Reln,mRNA_Sst,nan,nan,cl120_i46_Cers6_Sst&mRNA_Calb1>=10.326881408691406&mRNA_Dlx6>=4.938682556152344&mRNA_Reln>=8.425381660461426&mRNA_Sst>=13.019731521606445
cl121_e46_Psd4_L6b,0.449308756,11655,58,7,39,3,mRNA_Neurod6,mRNA_Nxph4,mRNA_Rprml,nan,nan,nan,cl121_e46_Psd4_L6b&mRNA_Neurod6>=7.9934163093566895&mRNA_Nxph4>=6.179333209991455&mRNA_Rprml>=6.690901756286621
cl123_e45_Zbtb2_L23_IT,0.346420323,11647,67,15,30,4,mRNA_Calb1,mRNA_Itpka,mRNA_Lamp5,mRNA_Tesc,nan,nan,cl123_e45_Zbtb2_L23_IT&mRNA_Calb1>=10.0630521774292&mRNA_Itpka>=9.292875289916992&mRNA_Lamp5>=8.677494049072266&mRNA_Tesc>=6.862730979919434
cl125_e44_Agmat_L23_IT,0.5,11708,7,32,12,4,mRNA_Crh,mRNA_Itpka,mRNA_Penk,mRNA_Tesc,nan,nan,cl125_e44_Agmat_L23_IT&mRNA_Crh>=1.0858254432678223&mRNA_Itpka>=9.295116424560547&mRNA_Penk>=4.506546974182129&mRNA_Tesc>=7.3282976150512695
cl126_e44_Traf5_L6_CT,0.596153846,11692,23,13,31,6,mRNA_Gm11549,mRNA_Itpka,mRNA_Lamp5,mRNA_Neurod6,mRNA_Slc17a7,mRNA_Syt6,cl126_e44_Traf5_L6_CT&mRNA_Gm11549>=8.153850555419922&mRNA_Itpka>=7.58634090423584&mRNA_Lamp5>=7.31242561340332&mRNA_Neurod6>=3.8348183631896973&mRNA_Slc17a7>=9.191835403442383&mRNA_Syt6>=5.573219299316406
cl127_i44_Nlrx1_Sst,0.217391304,11650,65,28,16,5,mRNA_Calb1,mRNA_Lhx6,mRNA_Npy,mRNA_Nxph1,mRNA_Reln,nan,cl127_i44_Nlrx1_Sst&mRNA_Calb1>=11.197750091552734&mRNA_Lhx6>=7.068571090698242&mRNA_Npy>=10.033684730529785&mRNA_Nxph1>=9.454256057739258&mRNA_Reln>=7.102281093597412
cl128_n44_ATP8_SMC,0.636792453,11700,15,17,27,2,mRNA_Cryab,mRNA_Map3k7cl,nan,nan,nan,nan,cl128_n44_ATP8_SMC&mRNA_Cryab>=10.112800598144531&mRNA_Map3k7cl>=1.3207297325134277
cl12_i155_Crabp1_Sncg,0.882352941,11604,0,62,93,3,mRNA_Reln,mRNA_Sncg,mRNA_Synpr,nan,nan,nan,cl12_i155_Crabp1_Sncg&mRNA_Reln>=6.587027072906494&mRNA_Sncg>=4.229562282562256&mRNA_Synpr>=10.901070594787598
cl130_n43_Nat8_Astro,0.254237288,11668,48,28,15,5,mRNA_Cryab,mRNA_Fgfr3,mRNA_Id2,mRNA_Ptn,mRNA_Rorb,nan,cl130_n43_Nat8_Astro&mRNA_Cryab>=0.6592115163803101&mRNA_Fgfr3>=6.175135135650635&mRNA_Id2>=11.397687911987305&mRNA_Ptn>=10.183721542358398&mRNA_Rorb>=1.1357648372650146
cl131_i43_Scgn_Meis2,0.772357724,11715,1,24,19,3,mRNA_Igfbp6,mRNA_Penk,mRNA_Th,nan,nan,nan,cl131_i43_Scgn_Meis2&mRNA_Igfbp6>=5.997076988220215&mRNA_Penk>=9.590370178222656&mRNA_Th>=7.843818664550781
cl132_i43_Fbn1_Vip,0.338983051,11716,0,39,4,2,mRNA_Ankrd55,mRNA_Cxcl14,nan,nan,nan,nan,cl132_i43_Fbn1_Vip&mRNA_Ankrd55>=8.223438262939453&mRNA_Cxcl14>=9.619192123413086
cl135_i42_Ostn_Pvalb,0.277777778,11717,0,39,3,3,mRNA_Arx,mRNA_Kcnmb2,mRNA_Pvalb,nan,nan,nan,cl135_i42_Ostn_Pvalb&mRNA_Arx>=6.474379539489746&mRNA_Kcnmb2>=8.38035774230957&mRNA_Pvalb>=9.472040176391602
cl136_i41_Grtp1_Lamp5,0.6,11699,19,14,27,4,mRNA_Car4,mRNA_Gad1,mRNA_Lamp5,mRNA_Slc6a1,nan,nan,cl136_i41_Grtp1_Lamp5&mRNA_Car4>=8.795650482177734&mRNA_Gad1>=12.5906343460083&mRNA_Lamp5>=10.60419750213623&mRNA_Slc6a1>=11.095741271972656
cl137_i41_NA_Lamp5,0.322580645,11711,7,35,6,3,mRNA_Car4,mRNA_Nxph1,mRNA_Reln,nan,nan,nan,cl137_i41_NA_Lamp5&mRNA_Car4>=5.945254325866699&mRNA_Nxph1>=10.620523452758789&mRNA_Reln>=10.672225952148438
cl138_i41_Has2_Lamp5,0.286975717,11641,77,15,26,4,mRNA_Cxcl14,mRNA_Lamp5,mRNA_Npy,mRNA_Nxph1,nan,nan,cl138_i41_Has2_Lamp5&mRNA_Cxcl14>=4.491196155548096&mRNA_Lamp5>=10.536863327026367&mRNA_Npy>=10.513603210449219&mRNA_Nxph1>=8.153663635253906
cl13_n153_Ctla2a_Endo,0.959849435,11598,8,0,153,1,mRNA_Ly6c2,nan,nan,nan,nan,nan,cl13_n153_Ctla2a_Endo&mRNA_Ly6c2>=0.8107749819755554
cl142_e38_Mamdc2_L4,0.127494457,11528,193,15,23,6,mRNA_Itpka,mRNA_Neurod1,mRNA_Neurod6,mRNA_Nrn1,mRNA_Rorb,mRNA_Rspo1,cl142_e38_Mamdc2_L4&mRNA_Itpka>=7.82003116607666&mRNA_Neurod1>=4.459156513214111&mRNA_Neurod6>=7.5348591804504395&mRNA_Nrn1>=9.484253883361816&mRNA_Rorb>=6.784144401550293&mRNA_Rspo1>=5.920435428619385
cl143_e38_Tmem136_L6_IT,0.384615385,11699,22,24,14,5,mRNA_Calb1,mRNA_Cryab,mRNA_Slc17a7,mRNA_Sv2b,mRNA_Tesc,nan,cl143_e38_Tmem136_L6_IT&mRNA_Calb1>=2.952732563018799&mRNA_Cryab>=8.020492553710938&mRNA_Slc17a7>=10.116907119750977&mRNA_Sv2b>=9.525447845458984&mRNA_Tesc>=7.339334964752197
cl144_e37_Zranb3_L4,0.193905817,11655,67,23,14,6,mRNA_Calb1,mRNA_Car4,mRNA_Lamp5,mRNA_Neurod1,mRNA_Rorb,mRNA_Rspo1,cl144_e37_Zranb3_L4&mRNA_Calb1>=7.529489517211914&mRNA_Car4>=7.199201583862305&mRNA_Lamp5>=5.685147285461426&mRNA_Neurod1>=6.03307580947876&mRNA_Rorb>=7.104024887084961&mRNA_Rspo1>=6.386125564575195
cl145_e37_Zfat_L4,0.106382979,11570,152,22,15,6,mRNA_Igfbp6,mRNA_Lamp5,mRNA_Neurod1,mRNA_Neurod6,mRNA_Rorb,mRNA_Rspo1,cl145_e37_Zfat_L4&mRNA_Igfbp6>=6.345081329345703&mRNA_Lamp5>=6.633854389190674&mRNA_Neurod1>=5.6413373947143555&mRNA_Neurod6>=7.878278732299805&mRNA_Rorb>=7.029962539672852&mRNA_Rspo1>=0.7286396026611328
cl146_e37_Rspo1_L4,0.281124498,11683,39,23,14,4,mRNA_Calb1,mRNA_Lamp5,mRNA_Rspo1,mRNA_Sv2b,nan,nan,cl146_e37_Rspo1_L4&mRNA_Calb1>=8.055522918701172&mRNA_Lamp5>=6.706437587738037&mRNA_Rspo1>=8.22912883758545&mRNA_Sv2b>=6.172243595123291
cl147_i37_Clrn1_Sncg,0.483870968,11717,5,28,9,3,mRNA_Brinp3,mRNA_Deptor,mRNA_Dlx1,nan,nan,nan,cl147_i37_Clrn1_Sncg&mRNA_Brinp3>=8.78897476196289&mRNA_Deptor>=5.402379989624023&mRNA_Dlx1>=7.463859558105469
cl148_e36_Mmel1_L4,0.211038961,11668,55,23,13,5,mRNA_Gm11549,mRNA_Lamp5,mRNA_Neurod1,mRNA_Rorb,mRNA_Rspo1,nan,cl148_e36_Mmel1_L4&mRNA_Gm11549>=8.579435348510742&mRNA_Lamp5>=7.141407012939453&mRNA_Neurod1>=4.9615983963012695&mRNA_Rorb>=7.2059173583984375&mRNA_Rspo1>=7.205214500427246
cl149_i36_Aqp6_Vip,0.472222222,11704,19,19,17,4,mRNA_Adarb2,mRNA_Cxcl14,mRNA_Penk,mRNA_Synpr,nan,nan,cl149_i36_Aqp6_Vip&mRNA_Adarb2>=8.237238883972168&mRNA_Cxcl14>=11.95410442352295&mRNA_Penk>=10.349981307983398&mRNA_Synpr>=12.15499496459961
cl150_e36_Car3_L6_IT,0.975609756,11723,0,4,32,2,mRNA_Car3,mRNA_Igfbp6,nan,nan,nan,nan,cl150_e36_Car3_L6_IT&mRNA_Car3>=4.252641677856445&mRNA_Igfbp6>=7.0835371017456055
cl151_i35_Gpr63_Lamp5,0.31496063,11709,15,27,8,5,mRNA_Car4,mRNA_Cryab,mRNA_Gad2,mRNA_Lamp5,mRNA_Npy,nan,cl151_i35_Gpr63_Lamp5&mRNA_Car4>=8.708431243896484&mRNA_Cryab>=8.721126556396484&mRNA_Gad2>=11.606179237365723&mRNA_Lamp5>=10.634527206420898&mRNA_Npy>=14.397865295410156
cl152_e35_Elf2_L5_IT,0.666666667,11717,7,17,18,5,mRNA_Deptor,mRNA_Fezf2,mRNA_Itpka,mRNA_Slc17a7,mRNA_Sv2b,nan,cl152_e35_Elf2_L5_IT&mRNA_Deptor>=7.891931056976318&mRNA_Fezf2>=5.562105655670166&mRNA_Itpka>=8.180160522460938&mRNA_Slc17a7>=10.084068298339844&mRNA_Sv2b>=7.685428619384766
cl153_i35_Mir384_Pvalb,0.112781955,11521,203,14,21,5,mRNA_Ank1,mRNA_Btbd11,mRNA_Kcnmb2,mRNA_Nxph1,mRNA_Pvalb,nan,cl153_i35_Mir384_Pvalb&mRNA_Ank1>=3.7138280868530273&mRNA_Btbd11>=5.9968180656433105&mRNA_Kcnmb2>=6.698201656341553&mRNA_Nxph1>=8.719715118408203&mRNA_Pvalb>=8.710238456726074
cl155_i35_Tubb6_Vip,0.454545455,11710,14,22,13,4,mRNA_Ank1,mRNA_Cxcl14,mRNA_Pdgfra,mRNA_Pvalb,nan,nan,cl155_i35_Tubb6_Vip&mRNA_Ank1>=1.0711634159088135&mRNA_Cxcl14>=9.690598487854004&mRNA_Pdgfra>=0.7131692171096802&mRNA_Pvalb>=0.6329871416091919
cl156_e35_Gpr139_L6_CT,0.71942446,11718,6,15,20,4,mRNA_Neurod6,mRNA_Slc17a7,mRNA_Syt6,mRNA_Tesc,nan,nan,cl156_e35_Gpr139_L6_CT&mRNA_Neurod6>=8.187000274658203&mRNA_Slc17a7>=9.663061141967773&mRNA_Syt6>=6.753140449523926&mRNA_Tesc>=5.518691062927246
cl158_i35_Cyp2s1_Sst,0.505050505,11718,6,25,10,4,mRNA_Chrna2,mRNA_Dlx6,mRNA_Lhx6,mRNA_Reln,nan,nan,cl158_i35_Cyp2s1_Sst&mRNA_Chrna2>=2.5402936935424805&mRNA_Dlx6>=4.708081245422363&mRNA_Lhx6>=8.031896591186523&mRNA_Reln>=8.24114990234375
cl160_i34_NA_Pvalb,0.131578947,11725,0,33,1,1,mRNA_Pvalb,nan,nan,nan,nan,nan,cl160_i34_NA_Pvalb&mRNA_Pvalb>=12.300602912902832
cl161_i34_Spsb2_Vip,0.403225806,11723,2,29,5,2,mRNA_Deptor,mRNA_Synpr,nan,nan,nan,nan,cl161_i34_Spsb2_Vip&mRNA_Deptor>=6.200389862060547&mRNA_Synpr>=12.819161415100098
cl162_e33_Gpr52_L6_IT,0.110671937,11446,280,5,28,5,mRNA_Igfbp6,mRNA_Itpka,mRNA_Neurod6,mRNA_Slc17a7,mRNA_Tesc,nan,cl162_e33_Gpr52_L6_IT&mRNA_Igfbp6>=8.084604263305664&mRNA_Itpka>=7.440720558166504&mRNA_Neurod6>=8.4840726852417&mRNA_Slc17a7>=9.265865325927734&mRNA_Tesc>=7.480023384094238
cl163_e33_Nxf7_L4,0.336787565,11699,27,20,13,6,mRNA_Car4,mRNA_Gm11549,mRNA_Itpka,mRNA_Rorb,mRNA_Rspo1,mRNA_Slc17a7,cl163_e33_Nxf7_L4&mRNA_Car4>=6.816666603088379&mRNA_Gm11549>=8.821609497070312&mRNA_Itpka>=8.420384407043457&mRNA_Rorb>=5.739583969116211&mRNA_Rspo1>=6.730129718780518&mRNA_Slc17a7>=8.91911506652832
cl164_i33_Adra2a_Vip,0.238095238,11645,81,12,21,5,mRNA_Adarb2,mRNA_Car4,mRNA_Crh,mRNA_Dlx1,mRNA_Vip,nan,cl164_i33_Adra2a_Vip&mRNA_Adarb2>=8.747093200683594&mRNA_Car4>=6.577231407165527&mRNA_Crh>=4.018712043762207&mRNA_Dlx1>=7.764778137207031&mRNA_Vip>=14.132352828979492
cl165_n33_Kdelr3_VLMC,0.658914729,11719,7,16,17,3,mRNA_Cryab,mRNA_Dcn,mRNA_Sparcl1,nan,nan,nan,cl165_n33_Kdelr3_VLMC&mRNA_Cryab>=6.823493003845215&mRNA_Dcn>=11.694446563720703&mRNA_Sparcl1>=11.283912658691406
cl166_i33_Has2os_Sst,0.333333333,11682,44,14,19,4,mRNA_Chodl,mRNA_Lhx6,mRNA_Sst,mRNA_Syt6,nan,nan,cl166_i33_Has2os_Sst&mRNA_Chodl>=9.114065170288086&mRNA_Lhx6>=5.688315391540527&mRNA_Sst>=14.42086410522461&mRNA_Syt6>=4.22064733505249
cl167_e33_Efcc1_L6_CT,0.697674419,11720,6,15,18,6,mRNA_Fezf2,mRNA_Igfbp6,mRNA_Itpka,mRNA_Slc17a7,mRNA_Sv2b,mRNA_Syt6,cl167_e33_Efcc1_L6_CT&mRNA_Fezf2>=6.147755146026611&mRNA_Igfbp6>=0.4764670729637146&mRNA_Itpka>=6.852858543395996&mRNA_Slc17a7>=9.89883041381836&mRNA_Sv2b>=8.427556037902832&mRNA_Syt6>=5.4382805824279785
cl169_i32_Wif1_Pvalb,0.833333333,11726,1,14,18,4,mRNA_Calb1,mRNA_Lhx6,mRNA_Penk,mRNA_Pvalb,nan,nan,cl169_i32_Wif1_Pvalb&mRNA_Calb1>=9.788448333740234&mRNA_Lhx6>=5.308795928955078&mRNA_Penk>=5.998774528503418&mRNA_Pvalb>=5.9221954345703125
cl16_n148_Cml3_Astro,0.464071856,11438,173,24,124,3,mRNA_Cxcl14,mRNA_Fgfr3,mRNA_Slc6a1,nan,nan,nan,cl16_n148_Cml3_Astro&mRNA_Cxcl14>=6.5273518562316895&mRNA_Fgfr3>=7.156371116638184&mRNA_Slc6a1>=4.4156951904296875
cl170_i32_Rps27rt_Vip,0.416666667,11727,0,28,4,2,mRNA_Crh,mRNA_Igfbp6,nan,nan,nan,nan,cl170_i32_Rps27rt_Vip&mRNA_Crh>=13.83925724029541&mRNA_Igfbp6>=5.338324069976807
cl172_e31_Htr6_L6_IT,0.258964143,11686,42,18,13,6,mRNA_Igfbp6,mRNA_Itpka,mRNA_Neurod6,mRNA_Penk,mRNA_Slc17a7,mRNA_Tesc,cl172_e31_Htr6_L6_IT&mRNA_Igfbp6>=8.241779327392578&mRNA_Itpka>=7.272111892700195&mRNA_Neurod6>=9.248149871826172&mRNA_Penk>=5.643250465393066&mRNA_Slc17a7>=9.804800987243652&mRNA_Tesc>=7.878608703613281
cl174_e30_Zfp433_L4,0.432098765,11710,19,16,14,5,mRNA_Brinp3,mRNA_Itpka,mRNA_Neurod1,mRNA_Rspo1,mRNA_Slc17a7,nan,cl174_e30_Zfp433_L4&mRNA_Brinp3>=7.9615678787231445&mRNA_Itpka>=8.176645278930664&mRNA_Neurod1>=5.228847980499268&mRNA_Rspo1>=7.722020626068115&mRNA_Slc17a7>=8.804047584533691
cl177_n30_Slc8b1_Astro,0.242857143,11666,63,13,17,4,mRNA_Cxcl14,mRNA_Fgfr3,mRNA_Rorb,mRNA_Vip,nan,nan,cl177_n30_Slc8b1_Astro&mRNA_Cxcl14>=6.495728969573975&mRNA_Fgfr3>=8.256843566894531&mRNA_Rorb>=4.099339485168457&mRNA_Vip>=0.7283414602279663
cl178_i30_Sesn3_Lamp5,0.490196078,11721,8,20,10,4,mRNA_Gad1,mRNA_Gad2,mRNA_Lamp5,mRNA_Ndnf,nan,nan,cl178_i30_Sesn3_Lamp5&mRNA_Gad1>=12.578313827514648&mRNA_Gad2>=10.768428802490234&mRNA_Lamp5>=10.979167938232422&mRNA_Ndnf>=10.410654067993164
cl179_e29_Cldn23_L5_PT,0.161787365,11596,134,8,21,5,mRNA_Fezf2,mRNA_Itpka,mRNA_Lamp5,mRNA_Nrn1,mRNA_Reln,nan,cl179_e29_Cldn23_L5_PT&mRNA_Fezf2>=7.897382736206055&mRNA_Itpka>=7.6952805519104&mRNA_Lamp5>=9.622650146484375&mRNA_Nrn1>=5.975852012634277&mRNA_Reln>=1.9169175624847412
